benchmark,domain,model,score,frontier_score,frontier_coverage,score_gap,jnd_points,jnd_equivalent,input_price_per_m,output_price_per_m,total_params_b,active_params_b,eval_mode,source_quality,source_url
GPQA Diamond,Science,Gemma 4 26B A4B,82.300,94.100,87.460,11.800,3.000,false,,,26.0,4.0,standard,vendor,https://huggingface.co/blog/gemma4
GPQA Diamond,Science,GLM 4.5 Thinking,78.200,94.100,83.103,15.900,3.000,false,0.6,2.2,,,thinking,aggregator,https://designforonline.com/ai-models/z-ai-glm-4-5/
GPQA Diamond,Science,Qwen3.5 4B,76.200,94.100,80.978,17.900,3.000,false,,,4.0,,unknown,vendor,https://huggingface.co/blog/gemma4
SWE-bench Verified,Coding,Claude Opus 4.8,88.600,88.600,100.000,0.000,3.000,true,5.0,25.0,,,max,independent,https://www.vals.ai/benchmarks/swebench
SWE-bench Verified,Coding,GPT-5.5,82.600,88.600,93.228,6.000,3.000,false,5.0,30.0,,,default,independent,https://www.vals.ai/benchmarks/swebench
SWE-bench Verified,Coding,Claude Opus 4.7,82.000,88.600,92.551,6.600,3.000,false,5.0,25.0,,,max,independent,https://www.vals.ai/benchmarks/swebench
SWE-bench Verified,Coding,Gemini 3.5 Flash,78.800,88.600,88.939,9.800,3.000,false,1.5,9.0,,,default,independent,https://www.vals.ai/benchmarks/swebench
SWE-bench Verified,Coding,GPT-5.4,78.200,88.600,88.262,10.400,3.000,false,2.5,15.0,,,default,independent,https://www.vals.ai/benchmarks/swebench
SWE-bench Verified,Coding,GPT-5.3 Codex,78.000,88.600,88.036,10.600,3.000,false,1.75,14.0,,,default,independent,https://www.vals.ai/benchmarks/swebench
SWE-bench Verified,Coding,DeepSeek V4,77.400,88.600,87.359,11.200,3.000,false,0.44,,1600.0,49.0,default,independent,https://www.vals.ai/benchmarks/swebench
